# KIC   dateobs      eclipse?    filter    filename[-15:]
#
3955867 2457148.86489 Pri I 150506.097.fits
3955867 2457148.8662 Pri B 150506.098.fits
3955867 2457148.86947 Pri V 150506.099.fits
3955867 2457148.87141 Pri R 150506.100.fits
3955867 2457148.87249 Pri I 150506.101.fits
3955867 2457148.87379 Pri B 150506.102.fits
3955867 2457148.87711 Pri V 150506.103.fits
3955867 2457148.87903 Pri R 150506.104.fits
3955867 2457148.88012 Pri I 150506.105.fits
3955867 2457148.88172 Pri B 150506.106.fits
3955867 2457148.88504 Pri V 150506.107.fits
3955867 2457148.88694 Pri R 150506.108.fits
3955867 2457148.88798 Pri I 150506.109.fits
3955867 2457148.88928 Pri B 150506.110.fits
3955867 2457148.89261 Pri V 150506.111.fits
3955867 2457148.89451 Pri R 150506.112.fits
3955867 2457148.89565 Pri I 150506.113.fits
3955867 2457148.89698 Pri B 150506.114.fits
3955867 2457148.90028 Pri V 150506.115.fits
3955867 2457148.90219 Pri R 150506.116.fits
3955867 2457148.90326 Pri I 150506.117.fits
3955867 2457148.90484 Pri B 150506.118.fits
3955867 2457148.90812 Pri V 150506.119.fits
3955867 2457148.91003 Pri R 150506.120.fits
3955867 2457148.9111 Pri I 150506.121.fits
3955867 2457148.91241 Pri B 150506.122.fits
3955867 2457148.91572 Pri V 150506.123.fits
3955867 2457148.91762 Pri R 150506.124.fits
3955867 2457148.9187 Pri I 150506.125.fits
3955867 2457148.92 Pri B 150506.126.fits
3955867 2457148.92325 Pri V 150506.127.fits
3955867 2457148.92521 Pri R 150506.128.fits
3955867 2457148.9263 Pri I 150506.129.fits
3955867 2457148.92789 Pri B 150506.130.fits
3955867 2457148.93121 Pri V 150506.131.fits
3955867 2457148.93314 Pri R 150506.132.fits
3955867 2457148.93423 Pri I 150506.133.fits
3955867 2457148.93553 Pri B 150506.134.fits
3955867 2457148.93879 Pri V 150506.135.fits
3955867 2457148.94067 Pri R 150506.136.fits
3955867 2457148.94176 Pri I 150506.137.fits
3955867 2457148.94302 Pri B 150506.138.fits
3955867 2457148.94631 Pri V 150506.139.fits
3955867 2457148.94827 Pri R 150506.140.fits
3955867 2457148.94937 Pri I 150506.141.fits
3955867 2457148.95097 Pri B 150506.142.fits
3955867 2457148.95428 Pri V 150506.143.fits
3955867 2457148.95623 Pri R 150506.144.fits
3955867 2457148.95733 Pri I 150506.145.fits
3955867 2457148.95859 Pri B 150506.146.fits
3955867 2457148.96184 Pri V 150506.147.fits
3955867 2457148.96375 Pri R 150506.148.fits
3955867 2457148.96487 Pri I 150506.149.fits
3955867 2457148.96623 Pri B 150506.150.fits
3955867 2457148.96955 Pri V 150506.151.fits
3955867 2457148.97148 Pri R 150506.152.fits
3955867 2457148.97256 Pri I 150506.153.fits
4569590 2457114.94245 No  B 150402.128.fits
4569590 2457114.94438 No  V 150402.129.fits
4569590 2457114.94564 No  R 150402.130.fits
4569590 2457114.94664 No  I 150402.131.fits
4569590 2457114.94777 No  B 150402.132.fits
4569590 2457114.94969 No  V 150402.133.fits
4569590 2457114.95086 No  R 150402.134.fits
4569590 2457114.95183 No  I 150402.135.fits
4569590 2457114.95299 No  B 150402.136.fits
4569590 2457114.95491 No  V 150402.137.fits
4569590 2457114.95619 No  R 150402.138.fits
4569590 2457114.9572 No  I 150402.139.fits
4569590 2457114.95837 No  B 150402.140.fits
4569590 2457114.96031 No  V 150402.141.fits
4569590 2457114.96152 No  R 150402.142.fits
4569590 2457114.96249 No  I 150402.143.fits
4569590 2457114.96366 No  B 150402.144.fits
4569590 2457114.9656 No  V 150402.145.fits
4569590 2457114.96685 No  R 150402.146.fits
4569590 2457114.96787 No  I 150402.147.fits
4569590 2456837.67268 No  B 140629.021.fits
4569590 2456837.67473 No  V 140629.022.fits
4569590 2456837.67591 No  R 140629.023.fits
4569590 2456837.67689 No  I 140629.024.fits
4569590 2456837.67818 No  B 140629.025.fits
4569590 2456837.68019 No  V 140629.026.fits
4569590 2456837.68152 No  R 140629.027.fits
4569590 2456837.68255 No  I 140629.028.fits
4569590 2456837.68373 No  B 140629.029.fits
4569590 2456837.68561 No  V 140629.030.fits
4569590 2456837.6869 No  R 140629.031.fits
4569590 2456837.68793 No  I 140629.032.fits
4569590 2456837.68914 No  B 140629.033.fits
4569590 2456837.69119 No  V 140629.034.fits
4569590 2456837.69253 No  R 140629.035.fits
4569590 2456837.69352 No  I 140629.036.fits
4569590 2456837.69472 No  B 140629.037.fits
4569590 2456837.69664 No  V 140629.038.fits
4569590 2456837.6979 No  R 140629.039.fits
4569590 2456837.69881 No  I 140629.040.fits
4569590 2456837.78141 No  B 140629.117.fits
4569590 2456837.78341 No  V 140629.118.fits
4569590 2456837.78463 No  R 140629.119.fits
4569590 2456837.78565 Sec I 140629.120.fits
4569590 2456837.78678 Sec B 140629.121.fits
4569590 2456837.78878 Sec V 140629.122.fits
4569590 2456837.79005 Sec R 140629.123.fits
4569590 2456837.791 Sec I 140629.124.fits
4569590 2456837.79213 Sec B 140629.125.fits
4569590 2456837.79414 Sec V 140629.126.fits
4569590 2456837.79548 Sec R 140629.127.fits
4569590 2456837.79668 Sec I 140629.128.fits
4569590 2456837.79789 Sec B 140629.129.fits
4569590 2456837.7999 Sec V 140629.130.fits
4569590 2456837.80123 Sec R 140629.131.fits
4569590 2456837.80227 Sec I 140629.132.fits
4569590 2456837.80355 Sec B 140629.133.fits
4569590 2456837.80559 Sec V 140629.134.fits
4569590 2456837.80694 Sec R 140629.135.fits
4569590 2456837.80796 Sec I 140629.136.fits
4569590 2456837.8995 Sec B 140629.279.fits
4569590 2456837.90149 Sec V 140629.280.fits
4569590 2456837.90274 Sec R 140629.281.fits
4569590 2456837.90382 Sec I 140629.282.fits
4569590 2456837.90503 Sec B 140629.283.fits
4569590 2456837.907 Sec V 140629.284.fits
4569590 2456837.90831 Sec R 140629.285.fits
4569590 2456837.90942 Sec I 140629.286.fits
4569590 2456837.91068 Sec B 140629.287.fits
4569590 2456837.9127 Sec V 140629.288.fits
4569590 2456837.91398 Sec R 140629.289.fits
4569590 2456837.91495 Sec I 140629.290.fits
4569590 2456837.91617 Sec B 140629.291.fits
4569590 2456837.91813 Sec V 140629.292.fits
4569590 2456837.91943 Sec R 140629.293.fits
4569590 2456837.92054 Sec I 140629.294.fits
4569590 2456837.92178 Sec B 140629.295.fits
4569590 2456837.92373 Sec V 140629.296.fits
4569590 2456837.92499 Sec R 140629.297.fits
4569590 2456837.92614 Sec I 140629.298.fits
4569590 2456837.93322 Sec B 140629.307.fits
4569590 2456837.93519 Sec V 140629.308.fits
4569590 2456837.93649 Sec R 140629.309.fits
4569590 2456837.93756 Sec I 140629.310.fits
4569590 2456837.93879 Sec B 140629.311.fits
4569590 2456837.94082 Sec V 140629.312.fits
4569590 2456837.94216 Sec R 140629.313.fits
4569590 2456837.94318 Sec I 140629.314.fits
4569590 2456837.94435 Sec B 140629.315.fits
4569590 2456837.94637 Sec V 140629.316.fits
4569590 2456837.94788 Sec R 140629.317.fits
4569590 2456837.94886 Sec I 140629.318.fits
4569590 2456837.95001 Sec B 140629.319.fits
4569590 2456837.95207 Sec V 140629.320.fits
4569590 2456837.95334 Sec R 140629.321.fits
4569590 2456837.95451 Sec I 140629.322.fits
4569590 2456837.95574 Sec B 140629.323.fits
4569590 2456837.95769 Sec V 140629.324.fits
4569590 2456837.95899 Sec R 140629.325.fits
4569590 2456837.96006 Sec I 140629.326.fits
4569590 2456838.72428 Sec B 140630.022.fits
4569590 2456838.72629 Sec V 140630.023.fits
4569590 2456838.72763 Sec R 140630.024.fits
4569590 2456838.72867 Sec I 140630.025.fits
4569590 2456838.7299 Sec B 140630.026.fits
4569590 2456838.73194 Sec V 140630.027.fits
4569590 2456838.73325 Sec R 140630.028.fits
4569590 2456838.73428 Sec I 140630.029.fits
4569590 2456838.73553 Sec B 140630.030.fits
4569590 2456838.73751 Sec V 140630.031.fits
4569590 2456838.73878 Sec R 140630.032.fits
4569590 2456838.73986 Sec I 140630.033.fits
4569590 2456838.74107 Sec B 140630.034.fits
4569590 2456838.74303 Sec V 140630.035.fits
4569590 2456838.74437 Sec R 140630.036.fits
4569590 2456838.74537 Sec I 140630.037.fits
4569590 2456838.74675 Sec B 140630.038.fits
4569590 2456838.74875 Sec V 140630.039.fits
4569590 2456838.75006 Sec R 140630.040.fits
4569590 2456838.75103 Sec I 140630.041.fits
4569590 2456838.81851 Sec B 140630.098.fits
4569590 2456838.8204 Sec V 140630.099.fits
4569590 2456838.82168 Sec R 140630.100.fits
4569590 2456838.82264 Sec I 140630.101.fits
4569590 2456838.82394 Sec B 140630.102.fits
4569590 2456838.82587 Sec V 140630.103.fits
4569590 2456838.82709 Sec R 140630.104.fits
4569590 2456838.82817 Sec I 140630.105.fits
4569590 2456838.82944 Sec B 140630.106.fits
4569590 2456838.83148 Sec V 140630.107.fits
4569590 2456838.83287 Sec R 140630.108.fits
4569590 2456838.83393 Sec I 140630.109.fits
4569590 2456838.83519 Sec B 140630.110.fits
4569590 2456838.83717 Sec V 140630.111.fits
4569590 2456901.7175 Pri B 140901.136.fits
4569590 2456901.71948 Pri V 140901.137.fits
4569590 2456901.72067 Pri R 140901.138.fits
4569590 2456901.72153 Pri I 140901.139.fits
4569590 2456901.72264 Pri B 140901.140.fits
4569590 2456901.72453 Pri V 140901.141.fits
4569590 2456901.72577 Pri R 140901.142.fits
4569590 2456901.72664 Pri I 140901.143.fits
4569590 2456901.72774 Pri B 140901.144.fits
4569590 2456901.72966 Pri V 140901.145.fits
4569590 2456901.73096 Pri R 140901.146.fits
4569590 2456901.73178 Pri I 140901.147.fits
4569590 2456901.73282 Pri B 140901.148.fits
4569590 2456901.73469 Pri V 140901.149.fits
4569590 2456901.73598 Pri R 140901.150.fits
4569590 2456901.73681 Pri I 140901.151.fits
4569590 2456901.73789 Pri B 140901.152.fits
4569590 2456901.73986 Pri V 140901.153.fits
4569590 2456901.74117 Pri R 140901.154.fits
4569590 2456901.74197 Pri I 140901.155.fits
4569590 2456901.74906 Pri B 140901.164.fits
4569590 2456901.75095 Pri V 140901.165.fits
4569590 2456901.75217 Pri R 140901.166.fits
4569590 2456901.75303 Pri I 140901.167.fits
4569590 2456901.75411 Pri B 140901.168.fits
4569590 2456901.75611 Pri V 140901.169.fits
4569590 2456901.75739 Pri R 140901.170.fits
4569590 2456901.75831 Pri I 140901.171.fits
4569590 2456901.75944 Pri B 140901.172.fits
4569590 2456901.7614 Pri V 140901.173.fits
4569590 2456901.76269 Pri R 140901.174.fits
4569590 2456901.76353 Pri I 140901.175.fits
4569590 2456901.76461 Pri B 140901.176.fits
4569590 2456901.76655 Pri V 140901.177.fits
4569590 2456901.7678 Pri R 140901.178.fits
4569590 2456901.76864 Pri I 140901.179.fits
4569590 2456901.76975 Pri B 140901.180.fits
4569590 2456901.77164 Pri V 140901.181.fits
4569590 2456901.77286 Pri R 140901.182.fits
4569590 2456901.77372 Pri I 140901.183.fits
4569590 2456901.81307 Pri B 140901.219.fits
4569590 2456901.81495 Pri V 140901.220.fits
4569590 2456901.81622 Pri R 140901.221.fits
4569590 2456901.81705 Pri I 140901.222.fits
4569590 2456901.81818 Pri B 140901.223.fits
4569590 2456901.82011 Pri V 140901.224.fits
4569590 2456901.82138 Pri R 140901.225.fits
4569590 2456901.82224 Pri I 140901.226.fits
4569590 2456901.82326 Pri B 140901.227.fits
4569590 2456901.82515 Pri V 140901.228.fits
4569590 2456901.82645 Pri R 140901.229.fits
4569590 2456901.82733 Pri I 140901.230.fits
4569590 2456901.82848 Pri B 140901.231.fits
4569590 2456901.83038 Pri V 140901.232.fits
4569590 2456901.83163 Pri R 140901.233.fits
4569590 2456901.83256 Pri I 140901.234.fits
4569590 2456901.83368 Pri B 140901.235.fits
4569590 2456901.83561 Pri V 140901.236.fits
4569590 2456901.8368 Pri R 140901.237.fits
4569590 2456901.83768 Pri I 140901.238.fits
4569590 2456901.84465 Pri B 140901.247.fits
4569590 2456901.84663 Pri V 140901.248.fits
4569590 2456901.84792 Pri R 140901.249.fits
4569590 2456901.84888 Pri I 140901.250.fits
4569590 2456901.85001 Pri B 140901.251.fits
4569590 2456901.85198 Pri V 140901.252.fits
4569590 2456901.85332 Pri R 140901.253.fits
4569590 2456901.8543 Pri I 140901.254.fits
4569590 2456901.8555 Pri B 140901.255.fits
4569590 2456901.8575 Pri V 140901.256.fits
4569590 2456901.85877 Pri R 140901.257.fits
4569590 2456901.85972 Pri I 140901.258.fits
4569590 2456901.86087 Pri B 140901.259.fits
4569590 2456901.8629 Pri V 140901.260.fits
4569590 2456901.86425 Pri R 140901.261.fits
4569590 2456901.86532 Pri I 140901.262.fits
4569590 2456901.86657 Pri B 140901.263.fits
4569590 2456901.8685 Pri V 140901.264.fits
4569590 2456901.86981 Pri R 140901.265.fits
4569590 2456901.87085 Pri I 140901.266.fits
4569590 2456902.61262 Pri B 140902.017.fits
4569590 2456902.61462 Pri V 140902.018.fits
4569590 2456902.61593 Pri R 140902.019.fits
4569590 2456902.61694 Pri I 140902.020.fits
4569590 2456902.61816 Pri B 140902.021.fits
